guide	tc_id	group	description	sub_steps	latest_verdict	latest_date	source_path	still_open	has_pass	finding_note	first_pass_date
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-E02	E — Delete Account (COPPA)	Wrong password blocked	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-E03	E — Delete Account (COPPA)	Two-step confirmation → deletion + logout	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-F01	F — Suspended / Unsubscribe / Offline	Suspended account screen (logout only)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-F02	F — Suspended / Unsubscribe / Offline	Unsubscribe via email token (success/error)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-F03	F — Suspended / Unsubscribe / Offline	Offline screen + Try Again	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-F04	F — Suspended / Unsubscribe / Offline	Suspended account — Log Out tap	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G01	G — Home Dashboard	Greeting + subscription badge + SP balance	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G02	G — Home Dashboard	Priority banners (grace > payment fail > trial > draft)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G03	G — Home Dashboard	Quick action tiles route correctly	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G04	G — Home Dashboard	ID verification CTA banner (dismissible)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G05	G — Home Dashboard	Recommendations + recent trade card	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G06	G — Home Dashboard	Pull-to-refresh reloads dashboard	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G07	G — Home Dashboard	"""Show more actions"" toggle"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G08	G — Home Dashboard	"Free-user ""Unlock Swap Points"" strip"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G09	G — Home Dashboard	"""No session found"" state"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G10	G — Home Dashboard	Empty-trade state	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G11	G — Home Dashboard	"""View Timeline"" nav"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G12	G — Home Dashboard	"""See All"" → Discover nav"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-G13	G — Home Dashboard	Subscription-card Upgrade button	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-H01	H — Help & Support Menu	Help & Support menu (3 cards) routes	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-H02	H — Help & Support Menu	FAQ list — search + category filter	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-H03	H — Help & Support Menu	FAQ fallback when offline	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-H04	H — Help & Support Menu	FAQ detail — helpful vote (Yes/No)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-H05	H — Help & Support Menu	Contact Support form (auth gate + validation)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-I01	I — Education & SP Calculator	Education Help screen sections (accordion + deep link)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-I02	I — Education & SP Calculator	SP Calculator (free mode) sell/buy outputs	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-I03	I — Education & SP Calculator	SP Calculator bonus category badge	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-I04	I — Education & SP Calculator	SP Calculator validation (price range)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-I05	I — Education & SP Calculator	Education analytics events fire	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J01	J — Legal Screens	Terms of Service view + last updated	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J02	J — Legal Screens	TOS acceptance flow (requireAcceptance)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J03	J — Legal Screens	Privacy Policy view + acceptance	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J04	J — Legal Screens	Liability Disclaimer view (read-only + retry)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J05	J — Legal Screens	Policy versioning — re-acceptance on new version	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J06	J — Legal Screens	Signup implies TOS + Privacy agreement (no mandatory dialog)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J07	J — Legal Screens	Legal screen unavailable state (no published policy)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J08	J — Legal Screens	Legal screen load failure — error + Retry	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J09	J — Legal Screens	Very long policy content renders + scrolls smoothly	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J10	J — Legal Screens	Legal screens render consistently on iOS and Android	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J11	J — Legal Screens	Legal screen loads < 2s and scrolls without lag	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-J12	J — Legal Screens	Liability Disclaimer unavailable state	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-K01	K — Privacy & Security / MFA	MFA factors list + enrollment entry points	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-K02	K — Privacy & Security / MFA	Enroll and verify an authenticator factor	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-K03	K — Privacy & Security / MFA	Protected action prompts MFA challenge + invalid code handling	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-K04	K — Privacy & Security / MFA	Recovery path and remove verified factor	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-L01	L — Error Recovery & Crash Reporting	Render-time error shows fallback instead of red/white screen	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-L02	L — Error Recovery & Crash Reporting	Try Again recovers after transient error	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-L03	L — Error Recovery & Crash Reporting	Persistent error stays contained to fallback	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-L04	L — Error Recovery & Crash Reporting	Error reporting is safe with and without telemetry	1							
ADMIN-PORTAL	ADM-TC-A01	A — Auth & Dashboard	Admin login with admin role	1							
ADMIN-PORTAL	ADM-TC-A02	A — Auth & Dashboard	Non-admin login rejected (RBAC gate)	1							
ADMIN-PORTAL	ADM-TC-A03	A — Auth & Dashboard	Dashboard layout: intro → health strip → Action Center → KPIs (no duplicate nav)	1							
ADMIN-PORTAL	ADM-TC-A04	A — Auth & Dashboard	Direct protected route access without session redirects to login	1							
ADMIN-PORTAL	ADM-TC-A05	A — Auth & Dashboard	Expired session redirects once without a loop	1							
ADMIN-PORTAL	ADM-TC-A06	A — Auth & Dashboard	Dashboard KPI cards follow design-system styling	1							
ADMIN-PORTAL	ADM-TC-B01	B — User Management	User list, search, status filters, pagination	1							
ADMIN-PORTAL	ADM-TC-B02	B — User Management	User detail drawer (identity, subscription, SP, trades)	1							
ADMIN-PORTAL	ADM-TC-B03	B — User Management	Suspend / ban / delete account	1							
ADMIN-PORTAL	ADM-TC-B04	B — User Management	Credit/debit SP + freeze wallet from user	1							
ADMIN-PORTAL	ADM-TC-B05	B — User Management	User analytics cards (totals, DAU/MAU)	1							
ADMIN-PORTAL	ADM-TC-B06	B — User Management	Reset Password action	1							
ADMIN-PORTAL	ADM-TC-B07	B — User Management	Unsuspend action	1							
ADMIN-PORTAL	ADM-TC-B08	B — User Management	Sort By / Sort Order	1							
ADMIN-PORTAL	ADM-TC-C01	C — Listings, Items & Flagged	Listing management — search & analytics tabs	1							
ADMIN-PORTAL	ADM-TC-C02	C — Listings, Items & Flagged	Flagged items — filter tabs + statuses	1							
ADMIN-PORTAL	ADM-TC-C03	C — Listings, Items & Flagged	Approve flagged item	1							
ADMIN-PORTAL	ADM-TC-C04	C — Listings, Items & Flagged	Reject item with required reason	1							
ADMIN-PORTAL	ADM-TC-C05	C — Listings, Items & Flagged	Item detail view + appeal info	1							
ADMIN-PORTAL	ADM-TC-C06	C — Listings, Items & Flagged	Force Delete	1							
ADMIN-PORTAL	ADM-TC-C07	C — Listings, Items & Flagged	Pause	1							
ADMIN-PORTAL	ADM-TC-C08	C — Listings, Items & Flagged	Approve	1							
ADMIN-PORTAL	ADM-TC-C09	C — Listings, Items & Flagged	Request Edits	1							
ADMIN-PORTAL	ADM-TC-C10	C — Listings, Items & Flagged	Reject	1							
ADMIN-PORTAL	ADM-TC-C11	C — Listings, Items & Flagged	Select-all / selection counter (no bulk execute — flag)	1							
ADMIN-PORTAL	ADM-TC-C12	C — Listings, Items & Flagged	Individual filter controls	1							
ADMIN-PORTAL	ADM-TC-D01	D — Categories	Category list, filters (incl. Bonus), search	1							
ADMIN-PORTAL	ADM-TC-D02	D — Categories	Create / edit category + SP multiplier	1							
ADMIN-PORTAL	ADM-TC-D03	D — Categories	Activate / deactivate category	1							
ADMIN-PORTAL	ADM-TC-D04	D — Categories	Category suggestions queue + count badge	1							
ADMIN-PORTAL	ADM-TC-D05	D — Categories	Icon / badge upload	1							
ADMIN-PORTAL	ADM-TC-D06	D — Categories	SP spending cap %	1							
ADMIN-PORTAL	ADM-TC-D07	D — Categories	SP redemption cap	1							
ADMIN-PORTAL	ADM-TC-D08	D — Categories	Drag-and-drop reorder	1							
ADMIN-PORTAL	ADM-TC-D09	D — Categories	Bulk actions (Activate / Deactivate / Delete / Export CSV)	1							
ADMIN-PORTAL	ADM-TC-D10	D — Categories	Delete category + guards	1							
ADMIN-PORTAL	ADM-TC-D11	D — Categories	Suggestion Approve / Merge / Reject	1							
ADMIN-PORTAL	ADM-TC-E01	E — Nodes & Waitlist	Geographic nodes list + stats	1							
ADMIN-PORTAL	ADM-TC-E02	E — Nodes & Waitlist	Add / edit node	1							
ADMIN-PORTAL	ADM-TC-E03	E — Nodes & Waitlist	Deactivate node with members warning	1							
ADMIN-PORTAL	ADM-TC-E04	E — Nodes & Waitlist	Node settings (radius validations)	1							
ADMIN-PORTAL	ADM-TC-E05	E — Nodes & Waitlist	ZIP waitlist queue + status filter	1							
ADMIN-PORTAL	ADM-TC-E06	E — Nodes & Waitlist	Node tagging completeness (N6) — every record resolves to one node	1							
ADMIN-PORTAL	ADM-TC-E07	E — Nodes & Waitlist	Per-node KPIs (N6) — expansion-gate metrics per node	1							
ADMIN-PORTAL	ADM-TC-E08	E — Nodes & Waitlist	Waitlist API authorization (401 without admin session)	1							
ADMIN-PORTAL	ADM-TC-F01	F — Global Config & Settings	Global configuration inline edit + permission gate	1							
ADMIN-PORTAL	ADM-TC-F02	F — Global Config & Settings	Cart settings (min value, max carts, expiry)	1							
ADMIN-PORTAL	ADM-TC-F03	F — Global Config & Settings	Trade timing config (timing keys + nested validation)	1							
ADMIN-PORTAL	ADM-TC-F04	F — Global Config & Settings	Settings single-source — cross-link + last-updated + audit	1							
ADMIN-PORTAL	ADM-TC-F05	F — Global Config & Settings	N1 configurability — pickup countdown + payout buffer (new keys)	1							
ADMIN-PORTAL	ADM-TC-F06	F — Global Config & Settings	R2 — 7-day trade-window guardrail (hard block) + pickup reminders (new keys)	1							
ADMIN-PORTAL	ADM-TC-F07	F — Global Config & Settings	Trade Pipeline visualization — see & track trades in all stages	1							
ADMIN-PORTAL	ADM-TC-F08	F — Global Config & Settings	R1 tiered buyer-fee fields	1							
ADMIN-PORTAL	ADM-TC-F09	F — Global Config & Settings	Buyer Fee-Tier Distribution table	1							
ADMIN-PORTAL	ADM-TC-F10	F — Global Config & Settings	Legacy fee keys	1							
ADMIN-PORTAL	ADM-TC-F11	F — Global Config & Settings	Reset button	1							
ADMIN-PORTAL	ADM-TC-G01	G — Policy Management	Policy tabs (TOS/Privacy/Liability) + versions	1							
ADMIN-PORTAL	ADM-TC-G02	G — Policy Management	Create new policy version (version regex)	1							
ADMIN-PORTAL	ADM-TC-G03	G — Policy Management	Edit draft policy	1							
ADMIN-PORTAL	ADM-TC-G04	G — Policy Management	Publish policy (confirmation)	1							
ADMIN-PORTAL	ADM-TC-H01	H — Trades	Trade list filters + columns	1							
ADMIN-PORTAL	ADM-TC-H02	H — Trades	Trade detail (info, monetary breakdown, audit)	1							
ADMIN-PORTAL	ADM-TC-H03	H — Trades	Trade admin actions	1							
ADMIN-PORTAL	ADM-TC-H04	H — Trades	Subscription Context section	1							
ADMIN-PORTAL	ADM-TC-H05	H — Trades	External References (Stripe PI/refund + SP ledger IDs)	1							
ADMIN-PORTAL	ADM-TC-H06	H — Trades	Sales Tax line in monetary breakdown	1							
ADMIN-PORTAL	ADM-TC-I01	I — Disputes	Dispute queue + SLA highlighting	1							
ADMIN-PORTAL	ADM-TC-I02	I — Disputes	Mark dispute under review	1							
ADMIN-PORTAL	ADM-TC-I03	I — Disputes	Resolve dispute — Complete	1							
ADMIN-PORTAL	ADM-TC-I04	I — Disputes	Resolve dispute — Refund	1							
ADMIN-PORTAL	ADM-TC-I05	I — Disputes	Filter-tab click behavior (All/Reported/Under Review)	1							
ADMIN-PORTAL	ADM-TC-J01	J — Tax Admin	Tax admin entry points (cross-ref TradeFlow Group P)	1							
ADMIN-PORTAL	ADM-TC-K01	K — Payouts	Payout fee configuration + test breakdown	1							
ADMIN-PORTAL	ADM-TC-K02	K — Payouts	Payouts management list, stats, filters	1							
ADMIN-PORTAL	ADM-TC-K03	K — Payouts	Retry failed payout (confirmation)	1							
ADMIN-PORTAL	ADM-TC-L01	L — SP Economy / Analytics / Wallet	SP Economy hub tabs (Health/Flow/Rules)	1							
ADMIN-PORTAL	ADM-TC-L02	L — SP Economy / Analytics / Wallet	SP Analytics dashboard + CSV export	1							
ADMIN-PORTAL	ADM-TC-L03	L — SP Economy / Analytics / Wallet	SP Wallet admin — economy metrics + search	1							
ADMIN-PORTAL	ADM-TC-L04	L — SP Economy / Analytics / Wallet	SP adjustment (credit/deduct) with reason	1							
ADMIN-PORTAL	ADM-TC-L05	L — SP Economy / Analytics / Wallet	Freeze / unfreeze / suspend wallet	1							
ADMIN-PORTAL	ADM-TC-L06	L — SP Economy / Analytics / Wallet	SP Wallet entry points — home card, summary metrics, sidebar link	1							
ADMIN-PORTAL	ADM-TC-L07	L — SP Economy / Analytics / Wallet	SP Wallet state RPC — get_user_sp_wallet_summary returns wallet_state	1							
ADMIN-PORTAL	ADM-TC-L08	L — SP Economy / Analytics / Wallet	SP Wallet warning banners (mobile) — frozen/suspended/grace	1							
ADMIN-PORTAL	ADM-TC-M01	M — Subscriptions Admin	Grace period config (days + reminders)	1							
ADMIN-PORTAL	ADM-TC-M02	M — Subscriptions Admin	Subscriptions list, filters, metrics	1							
ADMIN-PORTAL	ADM-TC-M03	M — Subscriptions Admin	Extend / cancel / reactivate	1							
ADMIN-PORTAL	ADM-TC-M04	M — Subscriptions Admin	Reactivate button (confirm + mobile reflection)	1							
ADMIN-PORTAL	ADM-TC-M05	M — Subscriptions Admin	Metrics cards (MRR/churn/trial)	1							
ADMIN-PORTAL	ADM-TC-M06	M — Subscriptions Admin	"""free"" status filter"	1							
ADMIN-PORTAL	ADM-TC-N01	N — Referrals Admin	Referral configuration tab	1							
ADMIN-PORTAL	ADM-TC-N02	N — Referrals Admin	Referral analytics tab	1							
ADMIN-PORTAL	ADM-TC-N03	N — Referrals Admin	5 SP fields + 3 toggles	1							
ADMIN-PORTAL	ADM-TC-N04	N — Referrals Admin	"""Missing configuration"" warning"	1							
ADMIN-PORTAL	ADM-TC-N2	N2 — Idempotency & Audit (Cross-Cutting)	Financial audit journal viewable per trade	8							
ADMIN-PORTAL	ADM-TC-O01	O — ID Badge Verification	ID badge queue + stats + status filter	1							
ADMIN-PORTAL	ADM-TC-O02	O — ID Badge Verification	Review request — approve	1							
ADMIN-PORTAL	ADM-TC-O03	O — ID Badge Verification	Review request — reject with reason	1							
ADMIN-PORTAL	ADM-TC-O04	O — ID Badge Verification	Request details (screenshot deleted note)	1							
ADMIN-PORTAL	ADM-TC-O05	O — ID Badge Verification	Message templates edit	1							
ADMIN-PORTAL	ADM-TC-P01	P — Badges & Sandbox	Badge management list + toggle	1							
ADMIN-PORTAL	ADM-TC-P02	P — Badges & Sandbox	Create/edit/delete badge	1							
ADMIN-PORTAL	ADM-TC-P03	P — Badges & Sandbox	Manual award badge	1							
ADMIN-PORTAL	ADM-TC-P04	P — Badges & Sandbox	Badge sandbox event simulation	1							
ADMIN-PORTAL	ADM-TC-Q01	Q — Review Moderation	Reported reviews list + reason filter	1							
ADMIN-PORTAL	ADM-TC-Q02	Q — Review Moderation	Hide review (confirmation)	1							
ADMIN-PORTAL	ADM-TC-Q03	Q — Review Moderation	Approve review (unhide + delete reports)	1							
ADMIN-PORTAL	ADM-TC-Q04	Q — Review Moderation	Status filter dropdown	1							
ADMIN-PORTAL	ADM-TC-Q05	Q — Review Moderation	Sort-by dropdown	1							
ADMIN-PORTAL	ADM-TC-Q06	Q — Review Moderation	Search input	1							
ADMIN-PORTAL	ADM-TC-R01	R — Education & FAQ CMS	Education sections/examples/analytics	1							
ADMIN-PORTAL	ADM-TC-R02	R — Education & FAQ CMS	FAQ management (questions/categories/analytics)	1							
ADMIN-PORTAL	ADM-TC-R03	R — Education & FAQ CMS	Publish FAQ / education content	1							
ADMIN-PORTAL	ADM-TC-S01	S — Support Messages	Support inbox + unread filter	1							
ADMIN-PORTAL	ADM-TC-S02	S — Support Messages	Support detail + mark as read	1							
ADMIN-PORTAL	ADM-TC-T01	T — Analytics	Revenue & Analytics dashboard	1							
ADMIN-PORTAL	ADM-TC-T02	T — Analytics	Notification analytics (category/type/variant)	1							
ADMIN-PORTAL	ADM-TC-U01	U — Audit Logs	Audit logs view	1							
ADMIN-PORTAL	ADM-TC-V01	V — Monitoring & Cron	Monitoring run + alerts (acknowledge/note)	1							
ADMIN-PORTAL	ADM-TC-V02	V — Monitoring & Cron	Cron jobs status + run history + timezone	1							
ADMIN-PORTAL	ADM-TC-W01	W — Sidebar Navigation	Sidebar grouped into 7 labeled sections	1							
ADMIN-PORTAL	ADM-TC-W02	W — Sidebar Navigation	Expand / collapse a section via label + chevron	1							
ADMIN-PORTAL	ADM-TC-W03	W — Sidebar Navigation	Section state persists per admin across sessions	1							
ADMIN-PORTAL	ADM-TC-W04	W — Sidebar Navigation	Active route auto-expands its parent section	1							
ADMIN-PORTAL	ADM-TC-W05	W — Sidebar Navigation	Active/inactive item styling + label typography	1							
ADMIN-PORTAL	ADM-TC-W06	W — Sidebar Navigation	Collapsed icon rail shows all destinations	1							
ADMIN-PORTAL	ADM-TC-W07	W — Sidebar Navigation	All previous nav destinations still reachable	1							
ADMIN-PORTAL	ADM-TC-X01	X — Action Center	Action Center page loads aggregated cards	1							
ADMIN-PORTAL	ADM-TC-X02	X — Action Center	Same-type items bundled with count	1							
ADMIN-PORTAL	ADM-TC-X03	X — Action Center	Severity tags (Urgent/Routine)	1							
ADMIN-PORTAL	ADM-TC-X04	X — Action Center	Expand card drills into item list	1							
ADMIN-PORTAL	ADM-TC-X05	X — Action Center	Inline approve flagged item	1							
ADMIN-PORTAL	ADM-TC-X06	X — Action Center	Inline mark dispute under review	1							
ADMIN-PORTAL	ADM-TC-X07	X — Action Center	Inline retry failed payout (confirmation)	1							
ADMIN-PORTAL	ADM-TC-X08	X — Action Center	"Empty state ""All caught up"""	1							
ADMIN-PORTAL	ADM-TC-X09	X — Action Center	Sidebar pinned nav item + live count badge	1							
ADMIN-PORTAL	ADM-TC-X10	X — Action Center	Header bell opens Action Center + badge	1							
ADMIN-PORTAL	ADM-TC-X11	X — Action Center	Config drift card lists out-of-range settings	1							
ADMIN-PORTAL	ADM-TC-X12	X — Action Center	Dashboard embeds top-5 Action Center cards + View all link	1							
ADMIN-PORTAL	ADM-TC-X13	X — Action Center	Cancellation Insights card drill	1							
ADMIN-PORTAL	ADM-TC-X14	X — Action Center	/cancellation-insights full page	1							
ADMIN-PORTAL	ADM-TC-Y01	Y — Command Palette & Global Search	⌘K / Ctrl+K opens the palette from any page	1							
ADMIN-PORTAL	ADM-TC-Y02	Y — Command Palette & Global Search	Header search bar opens the palette	1							
ADMIN-PORTAL	ADM-TC-Y03	Y — Command Palette & Global Search	Parallel search across 4 entity types with grouped labels	1							
ADMIN-PORTAL	ADM-TC-Y04	Y — Command Palette & Global Search	Breadcrumb context per result row	1							
ADMIN-PORTAL	ADM-TC-Y05	Y — Command Palette & Global Search	Input debounced ~200ms	1							
ADMIN-PORTAL	ADM-TC-Y06	Y — Command Palette & Global Search	"Top 5 per group + ""See all N results"" expansion"	1							
ADMIN-PORTAL	ADM-TC-Y07	Y — Command Palette & Global Search	"Footer ""View all in <domain>"" → prefilled list page"	1							
ADMIN-PORTAL	ADM-TC-Y08	Y — Command Palette & Global Search	Selecting a result navigates directly	1							
ADMIN-PORTAL	ADM-TC-Y09	Y — Command Palette & Global Search	Keyboard navigation (↑/↓/↵/Esc) + focus trap	1							
ADMIN-PORTAL	ADM-TC-Y10	Y — Command Palette & Global Search	Non-admin rejected (permission scoping)	1							
ADMIN-PORTAL	ADM-TC-Y11	Y — Command Palette & Global Search	Secret settings values never shown	1							
ADMIN-PORTAL	ADM-TC-Y12	Y — Command Palette & Global Search	Empty + no-results states	1							
ADMIN-PORTAL	ADM-TC-Z01	Z — Dashboard Health Strip	Health strip renders below title, above Action Center	1							
ADMIN-PORTAL	ADM-TC-Z02	Z — Dashboard Health Strip	Six indicators with colored dots + labels + values	1							
ADMIN-PORTAL	ADM-TC-Z03	Z — Dashboard Health Strip	Dot color reflects configurable thresholds	1							
ADMIN-PORTAL	ADM-TC-Z04	Z — Dashboard Health Strip	Clicking an indicator navigates to its detail page	1							
ADMIN-PORTAL	ADM-TC-Z05	Z — Dashboard Health Strip	Failed Payouts deep-link pre-filters to failed	1							
ADMIN-PORTAL	ADM-TC-Z06	Z — Dashboard Health Strip	Thresholds tunable via /config (health) without code change	1							
ADMIN-PORTAL	ADM-TC-Z07	Z — Dashboard Health Strip	Dashboard embeds Action Center below the strip	1							
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A01	A — Signup (Email/Password)	Successful signup with valid details	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-11
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A02	A — Signup (Email/Password)	Field validation errors (name/email/phone/password)	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-11
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A03	A — Signup (Email/Password)	Password mismatch + weak password	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-11
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A04	A — Signup (Email/Password)	Under-18 date of birth blocked	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-16
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A05	A — Signup (Email/Password)	Duplicate email blocked	1	PASS	2026-08-23	e2e-test-results/spotcheck-sweeps-2026-08-23/report.md		YES		2026-08-16
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A06	A — Signup (Email/Password)	Optional referral code (valid / invalid handling)	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-16
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A07	A — Signup (Email/Password)	Terms of Service & Privacy Policy links	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-16
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-A08	A — Signup (Email/Password)	Landing footer legal links (Terms / Privacy Policy)	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-16
AUTH-ONBOARDING-NODES-LISTING-DISCOVERY	AUTH-TC-B01	B — Login & Session Restore	Successful login routes by onboarding status	1	PASS	2026-08-23	e2e-test-results/group-a-b-d-auth-2026-08-23/report.md		YES		2026-08-11
