guide	group	tc_id	description
AUTH	Q — Trading Education (End User)	AUTH-TC-Q02	Education Help screen — section by type
AUTH	Q — Trading Education (End User)	AUTH-TC-Q03	SP calculator — sell mode (no hardcoded rates)
AUTH	Q — Trading Education (End User)	AUTH-TC-Q04	SP calculator — buy mode (cash + fee + cap)
AUTH	Q — Trading Education (End User)	AUTH-TC-Q05	SP calculator — bonus categories + example SP
AUTH	Q — Trading Education (End User)	AUTH-TC-Q06	Education analytics — event tracking (no throw)
AUTH	Q — Trading Education (End User)	AUTH-TC-Q07	Education prompts — onboarding + in-app prompt state machine
AUTH	S — Password Recovery	AUTH-TC-S01	Forgot Password — success + Send Another Email
AUTH	S — Password Recovery	AUTH-TC-S02	Forgot Password — invalid email
AUTH	S — Password Recovery	AUTH-TC-S03	Forgot Password — rate-limit error
AUTH	S — Password Recovery	AUTH-TC-S04	Forgot Password — SMTP-config (500) error
AUTH	S — Password Recovery	AUTH-TC-S05	Forgot Password — 400 error
AUTH	S — Password Recovery	AUTH-TC-S06	Forgot Password — Back to Login
AUTH	S — Password Recovery	AUTH-TC-S07	Reset Password — validation + requirements card
AUTH	S — Password Recovery	AUTH-TC-S08	Reset Password — success → Login
AUTH	S — Password Recovery	AUTH-TC-S09	Reset Password — link-error (expired) → Request New Reset Email
AUTH	S — Password Recovery	AUTH-TC-S10	Reset Password — no active reset session
AUTH	S — Password Recovery	AUTH-TC-S11	Deep link `p2pkidsmarketplace://reset-password
MSG	A — Messaging: Conversations & Chat	MSG-TC-A01	Conversation list (search, unread badges, empty state)
MSG	A — Messaging: Conversations & Chat	MSG-TC-A02	Open a chat thread + trade context banner
MSG	A — Messaging: Conversations & Chat	MSG-TC-A03	Send a text message + delivery status (sent→delivered→read)
MSG	A — Messaging: Conversations & Chat	MSG-TC-A04	Receive a message in real time
MSG	A — Messaging: Conversations & Chat	MSG-TC-A05	Typing indicator
MSG	A — Messaging: Conversations & Chat	MSG-TC-A06	Send an image message + full-screen viewer
MSG	A — Messaging: Conversations & Chat	MSG-TC-A07	Message length limit (2000 chars)
MSG	A — Messaging: Conversations & Chat	MSG-TC-A08	Quick-reply meeting chips
MSG	A — Messaging: Conversations & Chat	MSG-TC-A09	Safety meeting banner + Learn more
MSG	A — Messaging: Conversations & Chat	MSG-TC-A10	Photo permission denied error
MSG	B — Badges & Achievements	MSG-TC-B01	My Badges grid (earned vs locked)
MSG	B — Badges & Achievements	MSG-TC-B02	Badge detail modal
MSG	B — Badges & Achievements	MSG-TC-B03	Badge showcase on profile
MSG	B — Badges & Achievements	MSG-TC-B04	Badge celebration modal on unlock
MSG	B — Badges & Achievements	MSG-TC-B05	🚫 DEFERRED (post-MVP) — Leaderboard ranking (no in-app entry — deep-link/notification only)
MSG	C — Reviews & Ratings	MSG-TC-C01	Submit a post-trade review (stars + comment)
MSG	C — Reviews & Ratings	MSG-TC-C02	Rating required validation
MSG	C — Reviews & Ratings	MSG-TC-C03	Anonymous review
MSG	C — Reviews & Ratings	MSG-TC-C04	Skip review
MSG	C — Reviews & Ratings	MSG-TC-C05	Review display on seller profile + aggregate rating
MSG	C — Reviews & Ratings	MSG-TC-C06	Report a review (reviewee only)
MSG	D — ID Badge Verification (End User)	MSG-TC-D01	Start ID verification + upload from library
MSG	D — ID Badge Verification (End User)	MSG-TC-D02	Capture ID with camera
MSG	D — ID Badge Verification (End User)	MSG-TC-D03	Submit creates pending request
MSG	D — ID Badge Verification (End User)	MSG-TC-D04	Duplicate pending request blocked
MSG	D — ID Badge Verification (End User)	MSG-TC-D05	No-image submit validation
MSG	D — ID Badge Verification (End User)	MSG-TC-D06	Pending state screen
MSG	D — ID Badge Verification (End User)	MSG-TC-D07	Approved → Verified badge on profile
MSG	D — ID Badge Verification (End User)	MSG-TC-D08	Rejected → reason shown + resubmit
MSG	D — ID Badge Verification (End User)	MSG-TC-D09	Submission confirmation notifications reach the user
MSG	D — ID Badge Verification (End User)	MSG-TC-D10	Decision notifications honor channel preferences
MSG	E — ID Badge Verification (Admin)	MSG-TC-E01	Review queue (stats, filters, search)
MSG	E — ID Badge Verification (Admin)	MSG-TC-E02	Approve a request
MSG	E — ID Badge Verification (Admin)	MSG-TC-E03	Reject with reason
MSG	E — ID Badge Verification (Admin)	MSG-TC-E04	View completed request details
MSG	E — ID Badge Verification (Admin)	MSG-TC-E05	Edit message templates
MSG	E — ID Badge Verification (Admin)	MSG-TC-E06	New submission creates admin alert notification
MSG	F — Referrals	MSG-TC-F01	View referral code + hero
MSG	F — Referrals	MSG-TC-F02	Copy referral code
MSG	F — Referrals	MSG-TC-F03	Share referral code (native share)
MSG	F — Referrals	MSG-TC-F04	Active rewards display
MSG	F — Referrals	MSG-TC-F05	Referral history (pending vs completed)
MSG	F — Referrals	MSG-TC-F06	Enter referral code at signup
MSG	F — Referrals	MSG-TC-F07	Program paused banner + disabled share
MSG	F — Referrals	MSG-TC-F08	Admin configures referral rewards
MSG	G — Safety & Compliance (End User)	MSG-TC-G01	Listing flagged → Safety Review screen
MSG	G — Safety & Compliance (End User)	MSG-TC-G02	Appeal a flagged/rejected listing
MSG	G — Safety & Compliance (End User)	MSG-TC-G03	"Resubmit a ""needs edits"" listing"
MSG	G — Safety & Compliance (End User)	MSG-TC-G04	Remove a flagged listing
MSG	G — Safety & Compliance (End User)	MSG-TC-G05	Recall safety alert notification
MSG	G — Safety & Compliance (End User)	MSG-TC-G06	Appeal max-attempt limit follows admin config
MSG	G — Safety & Compliance (End User)	MSG-TC-G07	Appeal window follows admin config
MSG	G — Safety & Compliance (End User)	MSG-TC-G08	AI moderation toggle affects automated image review
MSG	G — Safety & Compliance (End User)	MSG-TC-G09	Recall check toggle and threshold affect recall flagging
MSG	H — Safety & Compliance (Admin)	MSG-TC-H01	Flagged items moderation queue
MSG	H — Safety & Compliance (Admin)	MSG-TC-H02	Approve a flagged item
MSG	H — Safety & Compliance (Admin)	MSG-TC-H03	Reject with reason
MSG	H — Safety & Compliance (Admin)	MSG-TC-H04	Request edits
MSG	H — Safety & Compliance (Admin)	MSG-TC-H05	Trade dispute: mark under review
MSG	H — Safety & Compliance (Admin)	MSG-TC-H06	Trade dispute: resolve complete / refund
MSG	I — Notifications: Permission & Center	MSG-TC-I01	Enable push notifications
MSG	I — Notifications: Permission & Center	MSG-TC-I02	Push error states (Expo Go / web)
MSG	I — Notifications: Permission & Center	MSG-TC-I03	Notification center list + icons
MSG	I — Notifications: Permission & Center	MSG-TC-I04	Tap notification → deep link + mark read
MSG	I — Notifications: Permission & Center	MSG-TC-I05	Mark all as read
MSG	I — Notifications: Permission & Center	MSG-TC-I06	Pagination + pull to refresh
MSG	I — Notifications: Permission & Center	MSG-TC-I07	Real-time arrival
MSG	J — Notification Preferences	MSG-TC-J01	Category × channel toggles (live screen — 5 categories, no Safety)
MSG	J — Notification Preferences	MSG-TC-J02	Default preferences (DB-driven, no hardcoded defaults)
MSG	J — Notification Preferences	MSG-TC-J03	Always-on note (live footer copy)
MSG	J — Notification Preferences	MSG-TC-J04	Quiet hours (subscriber) + validation
MSG	J — Notification Preferences	MSG-TC-J05	🚫 NOT SUPPORTED — ID verification preference category (none exists)
TRD	A — Core Happy Paths	TRD-TC-A01	Cash Only: full happy path (buyer confirms)
TRD	A — Core Happy Paths	TRD-TC-A02	Accept SP: SP entry at offer → seller accepts → buyer confirms
TRD	A — Core Happy Paths	TRD-TC-A03	Accept SP: Pay Cash (0 SP) — subscriber seller still earns SP
TRD	A — Core Happy Paths	TRD-TC-A04	Donate listing: [Claim] button, no charge
TRD	B — Offer Lifecycle	TRD-TC-B01	Seller declines offer
TRD	B — Offer Lifecycle	TRD-TC-B02	Offer expires (seller never responds) + seller ignore prompt
TRD	B — Offer Lifecycle	TRD-TC-B03	Multiple competing offers — sort order + auto-decline
TRD	B — Offer Lifecycle	TRD-TC-B04	Buyer cancels pending trade — no consequence level
TRD	B — Offer Lifecycle	TRD-TC-B05	Per-seller cap: max 3 pending offers per seller (2026-07-18)
TRD	B — Offer Lifecycle	TRD-TC-B05a	Per-seller cap: Buyer at 3 with Seller A can still submit to Seller B
TRD	B — Offer Lifecycle	TRD-TC-B05b	Per-seller cap: Blocked at 4th offer to same seller
TRD	B — Offer Lifecycle	TRD-TC-B05c	Per-seller cap: Bundle offer counts as 1 slot, not N
TRD	B — Offer Lifecycle	TRD-TC-B05d	Per-seller cap: Expired offer frees slot immediately
TRD	B — Offer Lifecycle	TRD-TC-B05e	Regression: No leftover global cap blocks buyer over old global limit
TRD	B — Offer Lifecycle	TRD-TC-B05f	Admin config: Change offer cap from 3 to 5 on Trade Timing page
TRD	B — Offer Lifecycle	TRD-TC-B05g	Admin config: Revert cap from 5 back to 3 (forward-looking only)
TRD	B — Offer Lifecycle	TRD-TC-B05h	Admin config: Validation — reject invalid values (0, 11)
TRD	B — Offer Lifecycle	TRD-TC-B05i	Mobile client: Config fetch failure — graceful degradation
TRD	B — Offer Lifecycle	TRD-TC-B05j	Regression: Per-seller scope + bundle=1 still hold after config change
TRD	B — Offer Lifecycle	TRD-TC-B06	Card declined at offer submission
TRD	B — Offer Lifecycle	TRD-TC-B07	Expired offer timeline — no message button
TRD	B — Offer Lifecycle	TRD-TC-B08	Chat frozen after trade is cancelled or completed
TRD	B — Offer Lifecycle	TRD-TC-B09	Chat remains active for in_progress trades
TRD	B — Offer Lifecycle	TRD-TC-B10	Replace Card path (saved card → new card)
TRD	B — Offer Lifecycle	TRD-TC-B11	Subscribe-upsell → JoinKidsClub
TRD	B — Offer Lifecycle	TRD-TC-B12	SP info tooltip (not wired — flag)
TRD	B — Offer Lifecycle	TRD-TC-B13	Duplicate-offer modal navigation (dead code — flag)
TRD	C — SP Behavior	TRD-TC-C01	SP reserved on offer submission
TRD	C — SP Behavior	TRD-TC-C02	SP restored to buyer on seller decline
TRD	C — SP Behavior	TRD-TC-C03	SP restored to buyer on offer expiry
TRD	C — SP Behavior	TRD-TC-C04	SP stays reserved when seller accepts
TRD	C — SP Behavior	TRD-TC-C05	SP released to seller at trade completion
TRD	C — SP Behavior	TRD-TC-C06	SP restored to buyer on seller cancel (in_progress)
TRD	C — SP Behavior	TRD-TC-C07	Free user sees locked Use SP button + upgrade modal
TRD	C — SP Behavior	TRD-TC-C08	SP entry capped by the item's category cap (50–80%, admin-configurable)
TRD	D — Auto-Complete & Timers	TRD-TC-D01	Auto-complete when buyer never taps I Got It
TRD	D — Auto-Complete & Timers	TRD-TC-D02	Auto-complete skipped when dispute is open
TRD	D — Auto-Complete & Timers	TRD-TC-D03	Offer countdown pill color states
TRD	D — Auto-Complete & Timers	TRD-TC-D04	Auto-complete banner visible to buyer only
TRD	D — Auto-Complete & Timers	TRD-TC-D05	Post-meetup nudge after auto-complete
TRD	E — Dispute Flow	TRD-TC-E01	Buyer opens Report a Problem modal
TRD	E — Dispute Flow	TRD-TC-E02	Disputed trade does not auto-complete
TRD	E — Dispute Flow	TRD-TC-E03	Buyer UI during active dispute
TRD	E — Dispute Flow	TRD-TC-E04	Seller UI during active dispute
TRD	E — Dispute Flow	TRD-TC-E05	Admin resolves dispute → Complete
TRD	E — Dispute Flow	TRD-TC-E06	Admin resolves dispute → Refund
TRD	E — Dispute Flow	TRD-TC-E07	Report an Issue modal — no reason (disabled submit)
TRD	E — Dispute Flow	TRD-TC-E08	Report an Issue modal — reason selected (non-Other)
TRD	E — Dispute Flow	TRD-TC-E09	"Report an Issue modal — ""Other"" + min-20 description"
TRD	E — Dispute Flow	TRD-TC-E10	Report an Issue modal — submitting + success/error
TRD	F — Payout	TRD-TC-F01	Payout shown on completion (no dispute)
TRD	F — Payout	TRD-TC-F02	Payout held when dispute is open
TRD	F — Payout	TRD-TC-F03	Payout needs action when seller has no payout method
TRD	G — Notifications	TRD-TC-G01	Offer expiry reminders to seller
TRD	G — Notifications	TRD-TC-G02	Auto-complete reminders to buyer
TRD	G — Notifications	TRD-TC-G03	Notification throttle per trade
TRD	G — Notifications	TRD-TC-G04	Push notifications deep-link to correct screen
TRD	G — Notifications	TRD-TC-G05	Buyer cancel-request notification to seller
TRD	G — Notifications	TRD-TC-G06	Cancel-request outcome notifications to buyer
TRD	G — Notifications	TRD-TC-G07	Cancel-request resolution (keep-trade) notifications
TRD	H — Completion CTAs	TRD-TC-H01	Free buyer sees subscription CTA
TRD	H — Completion CTAs	TRD-TC-H02	"Subscriber buyer used SP — ""You saved $X"""
TRD	H — Completion CTAs	TRD-TC-H03	Subscriber seller on Accept SP listing — SP pending notice
TRD	H — Completion CTAs	TRD-TC-H04	Subscriber seller on Cash Only listing — upsell
TRD	H — Completion CTAs	TRD-TC-H05	Subscription lifecycle — trial / paid / cancel regression
TRD	I — Safety UX	TRD-TC-I01	Safe meetup card on in_progress trade
TRD	I — Safety UX	TRD-TC-I02	Safe meetup card dismissible per trade
TRD	I — Safety UX	TRD-TC-I03	In-chat safety banner persistent
TRD	I — Safety UX	TRD-TC-I04	Pre-first-message safety modal once per listing
TRD	I — Safety UX	TRD-TC-I05	Chat quick-reply chips on in_progress trade
TRD	I — Safety UX	TRD-TC-I06	Liability disclaimer modal gates purchase (checkbox + Accept & Continue)
TRD	I — Safety UX	TRD-TC-I07	Disclaimer modal Cancel path — no trade created
TRD	I — Safety UX	TRD-TC-I08	Disclaimer modal ✕ close behaves like Cancel
TRD	I — Safety UX	TRD-TC-I09	Disclaimer checkbox resets to unchecked on reopen
TRD	I — Safety UX	TRD-TC-I10	Disclaimer modal loading state
TRD	I — Safety UX	TRD-TC-I11	Disclaimer modal not shown for non-trade actions
TRD	J — Seller Cancel Consequences	TRD-TC-J01	Seller cancels in_progress trade → Level 1
TRD	J — Seller Cancel Consequences	TRD-TC-J02	2nd post-acceptance cancel → Level 2
TRD	J — Seller Cancel Consequences	TRD-TC-J03	3rd post-acceptance cancel → Level 3
TRD	J — Seller Cancel Consequences	TRD-TC-J04	Seller cancel button only on in_progress
TRD	J — Seller Cancel Consequences	TRD-TC-J05	Seller cancel modal shows seller reasons only
TRD	K — Value Stack & Fees	TRD-TC-K01	Subscriber sees $1.49 fee + Sales Tax line in value stack
TRD	K — Value Stack & Fees	TRD-TC-K02	Non-subscriber sees tiered fee (first-trade $1.49) + Sales Tax line in value stack
TRD	K — Value Stack & Fees	TRD-TC-K03	SP discount row conditional on SP used
TRD	K — Value Stack & Fees	TRD-TC-K04	Bundle checkout — fee charged per item (admin toggle OFF)
TRD	K — Value Stack & Fees	TRD-TC-K05	Bundle checkout — one fee per bundle (admin toggle ON)
TRD	K — Value Stack & Fees	TRD-TC-K06	Bundle timeline — fee display matches charge mode
TRD	K — Value Stack & Fees	TRD-TC-K07	Admin partial refund — refund price only, keep fee
TRD	K — Value Stack & Fees	TRD-TC-K08	Admin partial refund — tax ledger partially refunded
TRD	K — Value Stack & Fees	TRD-TC-K09	Payments reconciliation page — charged vs refunded per trade
TRD	K — Value Stack & Fees	TRD-TC-K10	Server-side enforcement — one-fee-per-bundle with stale client
TRD	K — Value Stack & Fees	TRD-TC-K11	Seller fee = 5% × cash portion (SP trade)
TRD	L — Bundle Flows	TRD-TC-L01	Bundle banner on trade detail
TRD	L — Bundle Flows	TRD-TC-L02	Confirm All shortcut for bundle (buyer)
TRD	L — Bundle Flows	TRD-TC-L03	Bundle offer rows in Offers tab (seller)
TRD	L — Bundle Flows	TRD-TC-L04	Non-bundle offers render as single rows
TRD	L — Bundle Flows	TRD-TC-L05	In-progress bundles section in Buying tab
TRD	L — Bundle Flows	TRD-TC-L06	Bundle banner in Review Offer screen
TRD	L — Bundle Flows	TRD-TC-L07	Accept All N Items in Review Offer screen
TRD	L — Bundle Flows	TRD-TC-L08	Individual accept/decline alongside bundle siblings
TRD	L — Bundle Flows	TRD-TC-L09	Bundle card in Your Offers (buyer)
TRD	L — Bundle Flows	TRD-TC-L10	Bundle cancel prompt (buyer + seller)
TRD	L — Bundle Flows	TRD-TC-L11	Bundle checkout skips items already in an active trade — buyer notified, flow continues
TRD	M — Cart (End User)	TRD-TC-M01	Add first item → active cart created
TRD	M — Cart (End User)	TRD-TC-M02	Add second item from same seller
